TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
19720WLMNGCENTE,10003,DE,0,C,325510,1,1,325.0,1.0,32,325,3255
19706KZCHM1385S,10003,DE,1,C,325199,1,1,325.0,1.0,32,325,3251
19706KZCHM1385S,10003,DE,1,C,325110,1,1,325.0,1.0,32,325,3251
19938HLKMF500DU,10001,DE,0,C,331528,1,1,331.0,1.0,33,331,3315
19938HLKMF500DU,10001,DE,0,C,336330,1,1,336.0,1.0,33,336,3363
19706KYSRCSCHOO,10003,DE,0,C,325211,1,1,325.0,1.0,32,325,3252
19706KYSRCSCHOO,10003,DE,0,C,325991,1,1,325.0,1.0,32,325,3259
19720HRDCR618LA,10003,DE,0,C,326199,1,1,326.0,1.0,32,326,3261
19720WLMNG58PYL,10003,DE,0,C,325211,1,1,325.0,1.0,32,325,3252
19720DLTCH344CH,10003,DE,1,C,333999,1,1,333.0,1.0,33,333,3339
19940LLNSMRTE13,10005,DE,0,C,311119,1,1,311.0,1.0,31,311,3111
19720MRCNM301PI,10003,DE,0,C,212299,1,1,2122.0,1.0,21,212,2122
19720SPTZF505NE,10003,DE,0,C,326199,1,1,326.0,1.0,32,326,3261
19706TXCDL2000W,10003,DE,0,C,324110,1,1,324.0,1.0,32,324,3241
19713RDLNC451BE,10003,DE,0,C,313312,1,1,313.0,1.0,31,313,3133
19713RDLNC451BE,10003,DE,0,C,313320,1,1,313.0,1.0,31,313,3133
19713RDLNC451BE,10003,DE,0,C,325991,2,0,325.0,1.0,32,325,3259
19713RDLNC451BE,10003,DE,0,C,314999,1,1,314.0,1.0,31,314,3149
19713RDLNC451BE,10003,DE,0,C,325612,1,1,325.0,1.0,32,325,3256
19713RDLNC451BE,10003,DE,0,C,325211,1,1,325.0,1.0,32,325,3252
19713RDLNC451BE,10003,DE,0,C,325612,2,0,325.0,1.0,32,325,3256
19713RDLNC451BE,10003,DE,0,C,313320,3,0,313.0,1.0,31,313,3133
19713RDLNC451BE,10003,DE,0,C,313320,2,0,313.0,1.0,31,313,3133
19713RDLNC451BE,10003,DE,0,C,325612,3,0,325.0,1.0,32,325,3256
19713RDLNC451BE,10003,DE,0,C,325991,2,0,,,32,325,3259
19951LLNFMPOBOX,10005,DE,0,C,311615,1,1,311.0,1.0,31,311,3116
19713RDLLQ385BE,10003,DE,0,C,325612,1,1,325.0,1.0,32,325,3256
19711WSTVC2000O,10003,DE,0,C,322212,1,1,322.0,1.0,32,322,3222
19711CRTSD225PA,10003,DE,0,C,322121,1,1,322.0,1.0,32,322,3221
19713RDLLS575BE,10003,DE,0,C,326291,1,1,326.0,1.0,32,326,3262
19899KMGRP14THP,10003,DE,0,C,323110,1,1,323.0,1.0,32,323,3231
19899SPKMN30THS,10003,DE,0,C,332913,1,1,332.0,1.0,33,332,3329
19901CRLKN1400E,10001,DE,0,C,424710,1,1,4247.0,1.0,42,424,4247
19901CRLKN1400E,10001,DE,0,C,454311,1,1,999.0,0.0,45,454,4543
19901CRLKN1400E,10001,DE,0,C,454319,2,0,999.0,0.0,45,454,4543
19901CRLKN1400E,10001,DE,0,C,454312,3,0,999.0,0.0,45,454,4543
19901CRLKN1400E,10001,DE,0,C,454310,1,1,999.0,0.0,45,454,4543
19901CRLKN1400E,10001,DE,0,C,454312,2,0,999.0,0.0,45,454,4543
19901CRLKN1400E,10001,DE,0,C,454319,3,0,999.0,0.0,45,454,4543
19899GRGPCPORTO,10003,DE,0,C,327420,1,1,327.0,1.0,32,327,3274
19973LLNPTSPORT,10005,DE,0,C,424710,1,1,4247.0,1.0,42,424,4247
19806WLMNG1MILL,10003,DE,0,C,332813,1,1,332.0,1.0,33,332,3328
