TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
02876MRPXLPROVI,44007,RI,0,C,334411,1,1,334.0,1.0,33,334,3344
02861NPTCN30HAM,44007,RI,0,C,326112,1,1,326.0,1.0,32,326,3261
02893NWNGLHAYST,44003,RI,0,C,331528,1,1,331.0,1.0,33,331,3315
02865VNNRB4CARO,44007,RI,1,C,331491,1,1,331.0,1.0,33,331,3314
02908MRCNS15CLA,44007,RI,0,C,334413,1,1,334.0,1.0,33,334,3344
02865TCHNC5WELL,44007,RI,0,C,332999,1,1,332.0,1.0,33,332,3329
02910NTYTC72FEN,44007,RI,1,C,334417,1,1,334.0,1.0,33,334,3344
02860CHNND65WOO,44007,RI,1,C,332813,1,1,332.0,1.0,33,332,3328
02891DRLNGCANAL,44009,RI,0,C,313241,1,1,313.0,1.0,31,313,3132
02910HYSHT800WE,44007,RI,0,C,332811,1,1,332.0,1.0,33,332,3328
02891DRLNG36BEA,44009,RI,0,C,313241,1,1,313.0,1.0,31,313,3132
02886KNNYM1000J,44003,RI,0,C,332439,1,1,332.0,1.0,33,332,3324
02860PRVDN358LO,44007,RI,0,C,313221,1,1,313.0,1.0,31,313,3132
02905RMBRS735AL,44007,RI,0,C,339911,1,1,339.0,1.0,33,339,3399
02905MNRCH189GE,44007,RI,0,C,332813,1,1,332.0,1.0,33,332,3328
02940STRNC35LIV,44007,RI,0,C,325199,1,1,325.0,1.0,32,325,3251
02940STRNC35LIV,44007,RI,0,C,325611,2,0,325.0,1.0,32,325,3256
02940STRNC35LIV,44007,RI,0,C,325510,3,0,325.0,1.0,32,325,3255
02860PRVDN51FAI,44007,RI,0,C,332812,1,1,332.0,1.0,33,332,3328
02860PRVDN51FAI,44007,RI,0,C,332813,2,0,332.0,1.0,33,332,3328
02905MTVNT520AL,44007,RI,0,C,424710,1,1,4247.0,1.0,42,424,4247
02861TRXNC300AR,44007,RI,0,C,332116,1,1,332.0,1.0,33,332,3321
02895HNYWL245RA,44007,RI,0,C,334513,1,1,334.0,1.0,33,334,3345
02920GGSLL50SHA,44007,RI,0,C,333911,1,1,333.0,1.0,33,333,3339
02885LLYDM130FR,44001,RI,0,C,313320,1,1,313.0,1.0,31,313,3133
02905FRGSN13014,44007,RI,0,C,332116,1,1,332.0,1.0,33,332,3321
02861TKNRP505CE,44007,RI,0,C,325991,1,1,325.0,1.0,32,325,3259
02893DRYVTONEEN,44003,RI,0,C,325510,1,1,325.0,1.0,32,325,3255
02919TRJYC2INDU,44007,RI,0,C,332813,1,1,332.0,1.0,33,332,3328
02914LNHNT200MA,44007,RI,1,C,325998,1,1,325.0,1.0,32,325,3259
02905CHMPK167MI,44007,RI,0,C,562211,1,1,562.0,1.0,56,562,5622
02920MRTHN16WES,44007,RI,0,C,326150,1,1,326.0,1.0,32,326,3261
02864CCLPT35MAR,44007,RI,0,C,325620,1,1,325.0,1.0,32,325,3256
02920GNNNS33KEN,44007,RI,0,C,331492,1,1,331.0,1.0,33,331,3314
02883TCHNC217CH,44009,RI,0,C,325998,1,1,325.0,1.0,32,325,3259
02871SNFSH200HI,44005,RI,0,C,336612,1,1,336.0,1.0,33,336,3366
02865CRLCB1CARO,44007,RI,0,C,335929,1,1,335.0,1.0,33,335,3359
02903SPRGP144AL,44007,RI,0,C,424710,1,1,4247.0,1.0,42,424,4247
